I might swerve-,ENGLISH,ESPAÑOL
wind_Title,ADRENALINE RUSH,ADRENALINE RUSH
,,
fs_FileSelect,FILE SELECT,ELIGE UN ARCHIVO
fs_Select,SELECT,SELECCIONAR
fs_Copy,COPY,COPIAR
fs_Delete,DELETE,BORRAR
fs_Back,BACK,ATRÁS
fs_Cancel,CANCEL,CANCELAR
fs_Empty,EMPTY,VACÍO
fs_Save,SAVE,GUARDAR
fs_ChooseFile,CHOOSE SLOT TO PASTE,ELIGE UN ESPACIO PARA PEGAR
fs_Erase,ERASE THIS FILE?,¿BORRAR ESTE ARCHIVO?
fs_Erasing,ARE YOU SURE??,¿¿SEGURO??
fs_Overwrite,OVERWRITE THIS FILE?,¿SOBREESCRIBIR ESTE ARCHIVO?
,,
conDet_Player,PLAYER,JUGADOR
conDet_Conn,CONNECTED,CONECTADO
conDet_ConUnd,CONTROLLER UNDETECTED,CONTROL DESCONECTADO
,,
game_Quitting,QUITTING,SALIR
game_Prototype,PROTOTYPE,PROTOTIPO
game_Demo,DEMO,DEMO
game_NP,NOW PLAYING,REPRODUCIENDO
game_Track,TRACK,PISTA
game_By,BY,POR
game_Length,LENGTH,DURACIÓN
,,
opt_Audio,AUDIO,SONIDO
opt_Master,MASTER,GENERAL
opt_Music,MUSIC,MÚSICA
opt_SFX,SFX,EFECTOS
opt_Text,TEXT,TEXTO
opt_Ambiance,AMBIANCE,AMBIENTE
opt_Pause,UNIQUE PAUSE THEME,TEMA DE PAUSA ÚNICO
opt_Footstep,FOOTSTEPS,PASOS
,,
opt_Visual,VISUAL,VISUALES
opt_SimpVFX,SIMPLIFY VFX,SIMPLIFICAR EFECTOS
opt_ScrShk,SCREEN SHAKE,TEMBLOR DE PANTALLA
opt_Part,PARTICLES,PARTÍCULAS
opt_TextSpd,TEXT SPEED,VEL. DE TEXTO
opt_Lang,LANGUAGE,IDIOMA
opt_ConDis,KEYBOARD/CONTROLLER DISPLAY,TECLADO/MUESTRA DE CONTROL
opt_Outline,OUTLINE,CONTORNO
opt_Squash,SQUASH 'N' STRETCH,ESTIRAMIENTO
opt_VSync,VSYNC,SINCRONIZACIÓN VERTICAL
,,
opt_Misc,MISC,MISCELÁNEO
opt_Fullscr,FULLSCREEN,PANTALLA COMPLETA
opt_MusTag,MUSIC TAG,INFORMACIÓN DE MÚSICA
opt_ConType,CONTROLLER TYPE,TIPO DE CONTROL
opt_ConRum,CONTROLLER RUMBLE,VIBRACIÓN DE CONTROL
opt_ExtCam,EXTENDED CAMERA,CAMARA EXTENDIDA
opt_FPS,FPS,FPS
opt_Speedrun,SPEEDRUN TIMER,TEMPORIZADOR
,,
opt_Pref,PREFERENCES,PREFERENCIAS
opt_ColorCode,CHARACTER COLOR-CODING,COLOREADO DE PERSONAJE
opt_FocusLoss,AUTO-PAUSE ON FOCUS LOSS,PAUSAR AL PERDER FOCO
opt_ChangeColor,CHANGE BASE COLOR,CAMBIAR COLOR BASE
,,
opt_Online,ONLINE,EN LÍNEA
opt_Discord,DISCORD RICH PRESCENCE,PRESENCIA DE DISCORD
opt_Ghost,SHOW GHOST,MOSTRAR FANTASMA
,,
opt_ConGen,CONTROLS (GENERAL),CONTROL (GENERAL)
opt_ConSpeed1,CONTROLS (SPEED/MENU) 1,CONTROL (VELOCIDAD/MENU) 1
opt_ConSpeed2,CONTROLS (SPEED/MENU) 2,CONTROL (VELOCIDAD/MENU) 2
opt_ConAction1,CONTROLS (ACTION) 1,CONTROL (ACCIÓN) 1
opt_ConAction2,CONTROLS (ACTION) 2,CONTROL (ACCIÓN) 2
opt_ConAction3,CONTROLS (ACTION) 3,CONTROL (ACCIÓN) 3
opt_ConLeft,LEFT,IZQUIERDA
opt_ConRight,RIGHT,DERECHA
opt_ConUp,UP,ARRIBA
opt_ConDown,DOWN,ABAJO
opt_ConJump,JUMP,SALTO
opt_ConAct1,ACTION 1,ACCIÓN 1
opt_ConBoost,BOOST,TURBO
opt_ConSpec1,SPECIAL 1,ESPECIAL 1
opt_ConSwap,SWAP,INTERCAMBIO
opt_ConSpec2,SPECIAL 2,ESPECIAL 2
opt_ConStart,START,START
opt_ConSelect,SELECT,SELECT
,,
opt_ActLeft,LEFT,IZQUIERDA
opt_ActRight,RIGHT,DERECHA
opt_ActUp,UP,ARRIBA
opt_ActDown,DOWN,ABAJO
opt_ActLight,LIGHT ATTACK,ATAQUE LIGERO
opt_ActMedium,MEDIUM ATTACK,ATAQUE MEDIO
opt_ActHeavy,HEAVY ATTACK,ATAQUE PESADO
opt_ActJump,JUMP,SALTO
opt_ActDash,RUN,CORRER
opt_ActSuper,DASH,TURBO
opt_Parry,PARRY,PARRY/CONTRA
opt_Charge,CHARGE-BOOST,CARGAR TURBO
,,
opt_JoyDead,JOYSTICK DEADZONE,ZONA MUERTA PALANCA
opt_TrigDead,TRIGGER DEADZONE,ZONA MUERTA GATILLO
,,
